# nu	S_nu	dS_nu	Nsource
# GHz	mJy	mJy	---
704.27	-0.9155	1.7800	2
705.44	0.4831	1.7851	2
706.62	0.9591	1.7980	2
707.79	-1.8268	1.8245	2
708.98	2.4081	1.8243	2
710.16	1.7219	1.8464	2
711.34	-0.3797	1.8488	2
712.53	-1.1172	1.8594	2
713.72	2.1674	1.8681	2
714.91	-1.0988	1.9242	2
716.10	1.5825	1.9922	2
717.29	0.6899	1.9734	2
718.49	-0.7799	1.9930	2
719.69	0.1125	1.9544	2
720.89	-0.5276	1.7054	2
722.09	1.1690	1.6969	2
723.30	-1.4591	1.7077	2
724.50	0.3349	1.7028	2
725.71	-0.4802	1.6934	2
726.92	0.9075	1.7060	2
728.13	1.6532	1.7096	2
729.35	-1.0396	1.7260	2
730.56	-1.1585	1.7422	2
731.78	-0.8665	1.7549	2
733.00	1.0050	1.7679	2
734.23	-0.5988	1.7809	2
735.45	-1.5133	1.7701	2
736.68	-4.0426	1.7878	2
737.91	-2.1766	1.8253	2
739.14	-0.5640	1.8155	2
740.37	-2.0893	1.7651	2
741.60	1.9259	1.6806	2
742.84	4.4543	1.7414	2
744.08	2.2375	1.7030	2
745.32	-0.4481	1.6487	2
746.56	3.0970	1.6048	2
747.81	1.8187	1.6313	2
749.06	-3.0336	1.6477	2
750.30	0.3588	1.6748	2
751.56	1.8180	1.7075	2
752.81	6.8432	1.7466	2
754.07	2.3874	1.7526	2
755.32	0.3056	1.8063	2
756.58	-1.2397	1.8772	2
757.84	-0.3630	1.9318	2
759.11	1.2188	1.9537	2
760.37	0.1425	2.0066	2
761.64	3.0245	2.0807	2
762.91	2.8350	2.1489	2
764.19	4.4704	2.2417	2
765.46	1.5391	2.7976	2
766.74	1.2844	3.1258	1
768.02	-1.2048	3.1446	1
769.30	-1.8033	3.2780	1
770.58	3.8913	9.7707	1
771.86	nan	nan	0
773.15	nan	nan	0
774.44	nan	nan	0
775.73	nan	nan	0
777.03	nan	nan	0
778.32	nan	nan	0
779.62	nan	nan	0
